sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
2,0,0,3,0.0015013416590296817,53,unknown,0,0,0,0,0,0,29,1
1,0,82,430,0.20401414860525233,50,unknown,6,0,0,0,0,0,51,1
1,18,215,27714,13.232453759184303,165,university,0,0,0,0,0,0,356,1
1,0,256,2900,1.380498339735319,52,university,4,3,5,6,6,3,66,1
1,28,623,336,0.2028616997503592,1144,unknown,0,0,0,0,0,0,10,1
1,0,111,5343,2.5465906005391865,243,unknown,0,0,0,0,0,0,58,1
1,0,33,3488,5.346976044449691,943,unknown,0,0,0,0,0,0,195,1
1,0,6471,93672,44.82852991791968,626,work,0,0,0,0,0,0,3150,1
1,0,62,5782,3.471838621462302,720,unknown,0,0,0,0,0,0,174,1
2,16,173,0,0,83,unknown,0,0,0,0,0,0,399,1
1,0,86,5,0.12346765776137132,894,unknown,0,0,0,0,0,0,391,1
1,0,125,434,0.2149266432203565,244,school,0,1,1,6,6,0,116,1
1,0,16,1712,2.110547661583312,36,work,0,0,0,0,0,0,41,1
1,27,145,2,0.007865367127162367,103,unknown,0,0,0,0,0,0,134,1
1,29,27,22,0.05208120558127056,78,unknown,0,0,0,0,0,0,108,1
1,36,298,436,0.3345605693497885,50,unknown,0,2,2,1,1,1,1588,1
1,42,182,2736,1.3221661390586317,100,unknown,0,0,0,0,0,0,17,1
1,0,109,265,0.12829301011817543,32,unknown,0,0,0,0,0,0,23,1
1,0,128,188,0.25639336682553765,127,school,0,0,0,0,0,0,259,1
1,0,69,1,3.3086968176770193,222,unknown,0,0,0,0,0,0,45,1
1,18,231,4711,5.599956007169665,598,unknown,2,0,0,0,0,0,396,1
1,0,189,8724,4.25430800318123,296,university,4,2,1,1,6,3,19,1
1,0,28,23,0.011201373710497654,9,unknown,0,0,0,0,2,3,28,1
1,0,283,221,0.10768153551307084,3,unknown,4,0,0,0,0,0,106,1
1,20,152,12,0.012260753735275642,125,school,2,0,0,0,0,0,200,1
1,0,333,2,0.008560071615302851,41,unknown,0,0,0,0,0,0,95,1
1,0,181,5,0.009756487556074396,11,unknown,0,0,0,0,0,0,30,1
1,0,165,5,0.036423624970216104,252,unknown,0,0,0,0,0,0,55,1
2,0,144,72,0.16707006750723258,1356,unknown,0,0,0,0,0,0,58,1
1,33,165,27,0.01671407360104787,235,university,2,3,3,3,4,0,44,1
2,32,621,1140,0.5989425285832606,412,work,0,3,5,1,2,3,59,1
1,0,175,1150,2.1167010396248735,625,work,1,2,2,7,2,9,27,1
2,17,110,150,0.07516196795142402,252,school,1,0,0,0,0,0,7,1
2,18,311,200,0.6401730364007279,172,school,0,0,0,0,0,0,16,1
1,14,142,562,0.28620668425653106,73,school,0,0,0,0,0,0,6,1
1,20,70,248,0.12743932634441582,39,university,0,0,0,0,0,0,98,1
1,0,8,24,0.012459398724535149,6,university,0,1,1,1,2,8,5,1
1,0,154,1516,0.7910479317223515,138,work,0,0,0,0,0,0,89,1
2,116,180,158,0.11356389408223566,48,work,0,4,2,1,6,0,130,1
1,0,507,1270,0.7170311147904815,666,university,0,0,0,0,0,0,32,1
1,0,51,2112,1.1084065320378202,70,university,0,0,0,0,0,0,17,1
1,0,489,5055,2.6586306162835207,32,unknown,4,1,1,1,2,3,128,1
1,0,0,30,0.3355174327324439,51,unknown,0,0,0,0,0,0,0,1
1,23,231,111,0.06362595834012356,294,unknown,0,0,0,0,0,0,199,1
1,0,209,321,0.17137840597851503,77,work,0,2,4,1,2,3,54,1
2,0,862,8664,5.027953122394007,917,unknown,0,0,0,0,0,0,111,1
1,24,109,34,0.018131471164091185,17,university,1,4,2,1,6,4,50,1
2,42,2007,58039,33.01328219572614,2008,unknown,0,0,0,0,0,0,45,1
1,54,62,19,0.01017527682938969,21,unknown,6,0,0,0,0,0,13,1
1,0,332,8979,4.833200675357323,749,unknown,0,0,0,0,0,0,70,1
1,27,42,45,0.024252508434826563,8,university,0,0,0,0,0,0,66,1
1,0,84,1180,0.63768773546447,222,unknown,0,0,0,0,0,0,48,1
1,0,93,11197,6.13272761662612,605,school,0,0,0,0,0,0,244,1
1,14,128,4,1.2141140761350702,446,work,0,0,0,0,0,0,454,1
1,0,67,13205,7.3330231030347175,197,school,0,2,1,1,2,2,62,1
1,0,72,651,0.3545253181094557,29,university,2,0,0,1,2,0,87,1
1,18,246,502,0.35608322929907665,55,university,0,0,0,0,0,0,2,1
1,62,60,10616,5.88079275356305,214,university,0,0,0,0,0,0,27,1
1,57,89,100,0.05504551840700156,55,unknown,0,0,0,0,0,0,49,1
2,16,55,1,0.001575561810876344,128,unknown,0,0,0,0,0,0,46,1
1,57,71,9073,5.2249702279745085,17,work,1,1,2,6,2,3,88,1
1,0,396,1747,0.9723318931358156,442,unknown,0,0,0,0,0,0,8,1
1,0,97,114,0.06440412058212129,27,unknown,0,0,0,0,0,0,47,1
1,0,260,13668,10.718748409034264,143,university,0,0,0,0,0,0,1,1
1,0,37,36,0.020908525583732806,76,university,0,0,0,0,0,0,11,1
1,0,94,1017,0.579939631994073,197,unknown,0,0,0,0,0,0,30,1
1,17,199,3,0.013620061551958721,230,unknown,0,0,0,0,0,0,90,1
1,42,213,704,0.3965734824343641,18,university,0,0,0,0,0,0,202,1
1,28,39,1176,0.6641872471177281,118,university,0,0,0,0,0,0,28,1
1,14,414,6,0.005477858804321849,764,work,0,0,0,0,0,0,253,1
2,46,301,1,0.18081971604607555,375,school,2,0,0,0,0,0,109,1
1,0,624,20133,13.249758355405014,2124,university,0,0,0,0,0,0,643,1
1,0,50,637,0.3685082376523798,39,unknown,4,2,4,1,2,0,388,1
2,0,0,484,0.41165024046596993,599,unknown,1,0,0,0,0,0,5,1
1,15,217,1505,6.365942092309979,256,work,2,1,1,2,2,3,15,1
